               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/uai_positif_mAP,metrics/uai_negatif_mAP,metrics/uap_positif_mAP,metrics/uap_negatif_mAP,metrics/uai_positif_mAP_50,metrics/uai_negatif_mAP_50,metrics/uap_positif_mAP_50,metrics/uap_negatif_mAP_50
                  76,           0.0049744,           0.0014929,          0.00078776,             0.98694,             0.98965,             0.99137,             0.97277,           0.0023336,           0.0011663,           0.0008811,             0.00325,             0.00325,             0.00325,             0.99043,             0.95267,             0.99119,             0.95679,             0.99471,             0.99259,               0.993,              0.9852
                  77,           0.0048522,           0.0013985,           0.0006125,             0.98746,             0.98939,             0.99119,             0.97196,           0.0023276,           0.0011698,           0.0008965,             0.00316,             0.00316,             0.00316,             0.99069,             0.94915,             0.99112,              0.9569,             0.99472,             0.99216,             0.99318,             0.98472
                  78,           0.0047587,           0.0013375,           0.0005554,             0.98966,             0.98887,              0.9909,              0.9725,           0.0023269,           0.0011668,          0.00086589,             0.00307,             0.00307,             0.00307,             0.99089,             0.95098,             0.99078,             0.95733,             0.99485,              0.9916,             0.99261,             0.98454
                  79,           0.0047761,           0.0013529,          0.00060983,             0.98914,             0.98878,             0.99063,             0.97241,           0.0023235,           0.0011674,          0.00085949,             0.00298,             0.00298,             0.00298,             0.99085,              0.9498,             0.99021,             0.95876,             0.99485,             0.99057,             0.99233,             0.98477
                  80,           0.0045629,           0.0013359,          0.00064727,             0.98919,               0.989,             0.99086,             0.97191,           0.0023302,           0.0011709,          0.00080096,             0.00289,             0.00289,             0.00289,             0.99076,             0.94655,             0.99061,             0.95972,             0.99473,             0.99015,              0.9927,             0.98585
                  81,            0.004692,           0.0013711,          0.00065756,             0.98881,              0.9867,             0.99115,             0.97278,           0.0023076,           0.0011756,          0.00073117,              0.0028,              0.0028,              0.0028,             0.99081,             0.94839,             0.99114,             0.96078,             0.99477,             0.99006,             0.99314,             0.98664
                  82,           0.0045668,           0.0014021,          0.00072458,             0.98934,             0.98798,             0.99104,               0.972,           0.0022872,           0.0011686,          0.00075313,             0.00271,             0.00271,             0.00271,             0.99057,             0.94738,             0.99087,             0.95917,             0.99479,             0.99036,             0.99286,             0.98615
                  83,           0.0045524,           0.0013961,          0.00068197,              0.9899,              0.9888,             0.99107,             0.97257,            0.002281,           0.0011588,          0.00079602,             0.00262,             0.00262,             0.00262,             0.99071,             0.94721,              0.9913,             0.96107,             0.99472,             0.99011,             0.99334,             0.98612
                  84,           0.0044193,           0.0013972,          0.00070761,              0.9888,             0.98882,             0.99129,             0.97281,           0.0022769,           0.0011531,            0.000821,             0.00253,             0.00253,             0.00253,             0.99084,             0.94758,             0.99172,             0.96109,             0.99469,             0.99046,             0.99375,             0.98627
                  85,             0.00438,           0.0013109,          0.00058548,             0.98749,             0.98849,             0.99108,             0.97271,           0.0022652,           0.0011398,          0.00081704,             0.00244,             0.00244,             0.00244,             0.99093,             0.94852,             0.99162,             0.95977,             0.99475,                0.99,             0.99364,             0.98592
                  86,           0.0041971,           0.0012278,          0.00045276,             0.98615,             0.99007,             0.99099,             0.97244,           0.0022581,           0.0011486,          0.00084251,             0.00235,             0.00235,             0.00235,             0.99108,             0.94823,             0.99155,             0.95892,              0.9948,             0.99045,             0.99347,             0.98524
                  87,           0.0042086,           0.0011835,          0.00039865,             0.98931,             0.98762,              0.9906,             0.97217,           0.0022616,           0.0011499,          0.00087069,             0.00226,             0.00226,             0.00226,              0.9911,             0.94953,             0.99107,             0.95697,              0.9948,              0.9901,             0.99299,              0.9845
                  88,           0.0040486,           0.0011746,          0.00045886,             0.98914,             0.98762,             0.99047,              0.9713,           0.0022696,           0.0011586,          0.00084951,             0.00217,             0.00217,             0.00217,             0.99112,             0.94492,             0.99058,             0.95859,             0.99479,              0.9896,             0.99261,             0.98487
                  89,           0.0039634,           0.0011659,          0.00047022,             0.99107,               0.986,             0.99058,             0.97231,            0.002273,           0.0011583,          0.00082221,             0.00208,             0.00208,             0.00208,             0.99117,             0.94765,             0.99054,             0.95987,             0.99483,             0.98944,             0.99258,             0.98547
                  90,            0.003986,           0.0011938,          0.00045284,             0.99009,             0.98695,             0.99081,             0.97256,           0.0022584,            0.001155,          0.00081099,             0.00199,             0.00199,             0.00199,             0.99122,             0.94698,             0.99091,             0.96115,             0.99482,             0.98945,             0.99295,             0.98602
                  91,           0.0039038,           0.0012148,           0.0004806,             0.98662,             0.98601,             0.99065,             0.97268,           0.0022519,           0.0011483,          0.00077071,              0.0019,              0.0019,              0.0019,             0.99108,             0.94762,             0.99088,             0.96115,             0.99481,             0.98887,             0.99272,             0.98621
                  92,           0.0038485,           0.0012068,          0.00045844,             0.99059,             0.98291,             0.98974,             0.97162,           0.0022517,           0.0011496,          0.00082066,             0.00181,             0.00181,             0.00181,             0.99089,             0.94491,             0.99098,             0.95971,             0.99462,             0.98512,               0.993,              0.9862
                  93,           0.0038035,           0.0012123,          0.00047785,             0.98594,             0.98697,             0.98966,             0.97084,           0.0022372,           0.0011476,          0.00083476,             0.00172,             0.00172,             0.00172,             0.99073,             0.94258,             0.99132,             0.95873,             0.99464,             0.98421,             0.99343,             0.98637
